 &plot nbnd= 100, nks=   701 /
            0.000000  0.000000  0.000000
   -9.826   -9.810   -0.706    1.942    5.971    7.258    7.338    8.174    8.427    8.939
    9.154    9.778    9.839   10.160   10.618   10.779   11.626   12.312   12.810   13.731
   14.456   15.990   16.096   16.270   17.108   17.147   17.631   18.336   19.655   20.179
   20.636   21.425   21.645   22.407   23.913   24.739   25.213   25.566   25.868   26.377
   27.484   28.596   28.992   29.267   30.554   30.696   31.466   32.185   32.565   33.012
   34.879   34.884   36.762   37.244   37.347   37.737   38.515   38.765   39.070   39.609
   40.080   40.332   40.471   40.950   41.335   41.476   42.452   42.631   43.153   43.671
   43.968   44.145   44.412   45.090   45.329   45.576   46.279   46.362   46.561   46.574
   47.383   47.446   47.548   47.972   48.507   48.630   49.267   50.378   50.483   50.665
            0.165742  0.000000  0.069848
  -72.233  -72.224  -38.009  -38.009  -37.997  -37.984  -37.947  -37.947  -28.808   -9.832
   -9.826   -9.809   -0.700    1.940    5.980    7.252    7.339    8.181    8.422    8.932
    9.162    9.772    9.841   10.152   10.598   10.754   11.646   12.291   12.808   13.752
   14.492   16.007   16.076   16.275   17.133   17.136   17.636   18.341   19.614   20.156
   20.629   21.409   21.643   22.436   23.946   24.742   25.210   25.580   25.914   26.422
   27.453   28.558   28.953   29.264   30.586   30.704   31.519   32.220   32.520   33.025
   34.811   34.908   36.770   37.171   37.347   37.711   38.488   38.708   39.057   39.569
   40.135   40.321   40.468   40.964   41.260   41.437   42.492   42.613   43.231   43.643
   43.934   44.226   44.387   45.069   45.358   45.521   46.227   46.324   46.531   46.576
   47.420   47.441   47.585   48.009   48.541   48.639   49.338   50.427   50.566   50.654
            0.172648  0.000000  0.072758
  -72.233  -72.224  -38.009  -38.009  -37.997  -37.984  -37.947  -37.947  -28.808   -9.833
   -9.826   -9.809   -0.694    1.938    5.989    7.246    7.340    8.188    8.417    8.924
    9.169    9.766    9.843   10.144   10.577   10.729   11.666   12.270   12.807   13.772
   14.530   16.025   16.056   16.281   17.125   17.159   17.636   18.350   19.574   20.133
   20.621   21.393   21.641   22.464   23.979   24.745   25.206   25.595   25.961   26.469
   27.426   28.521   28.905   29.269   30.616   30.713   31.567   32.256   32.466   33.052
   34.738   34.939   36.777   37.098   37.331   37.696   38.466   38.645   39.043   39.533
   40.190   40.308   40.466   40.971   41.190   41.400   42.530   42.602   43.309   43.610
   43.897   44.306   44.359   45.052   45.382   45.471   46.166   46.285   46.505   46.592
   47.394   47.495   47.619   48.049   48.580   48.648   49.411   50.476   50.642   50.673
            0.179554  0.000000  0.075668
  -72.233  -72.224  -38.009  -38.009  -37.997  -37.985  -37.948  -37.947  -28.808   -9.833
   -9.826   -9.809   -0.688    1.936    5.998    7.240    7.342    8.195    8.412    8.916
    9.177    9.760    9.845   10.136   10.557   10.704   11.686   12.249   12.805   13.792
   14.567   16.036   16.044   16.286   17.114   17.185   17.633   18.363   19.534   20.110
   20.612   21.377   21.640   22.493   24.012   24.750   25.200   25.610   26.009   26.515
   27.404   28.483   28.851   29.280   30.645   30.721   31.610   32.293   32.413   33.087
   34.664   34.970   36.783   37.024   37.301   37.691   38.449   38.576   39.027   39.501
   40.242   40.294   40.463   40.962   41.137   41.366   42.564   42.597   43.385   43.573
   43.859   44.328   44.386   45.037   45.401   45.427   46.101   46.245   46.483   46.620
   47.368   47.544   47.652   48.092   48.624   48.656   49.484   50.532   50.634   50.787
            0.186460  0.000000  0.078579
  -72.233  -72.224  -38.008  -38.008  -37.997  -37.985  -37.948  -37.948  -28.807   -9.834
   -9.826   -9.809   -0.682    1.933    6.008    7.234    7.343    8.203    8.408    8.908
    9.183    9.753    9.847   10.127   10.536   10.679   11.705   12.230   12.804   13.812
   14.605   16.016   16.062   16.292   17.102   17.211   17.626   18.381   19.495   20.087
   20.604   21.360   21.638   22.522   24.044   24.755   25.192   25.626   26.058   26.562
   27.385   28.447   28.794   29.295   30.671   30.729   31.642   32.330   32.369   33.125
   34.590   35.003   36.787   36.951   37.258   37.695   38.436   38.502   39.009   39.471
   40.279   40.292   40.461   40.925   41.111   41.335   42.595   42.596   43.459   43.534
   43.818   44.296   44.463   45.023   45.392   45.414   46.032   46.205   46.464   46.659
   47.342   47.588   47.682   48.136   48.664   48.673   49.559   50.546   50.623   50.836
            0.193366  0.000000  0.081489
  -72.232  -72.224  -38.008  -38.008  -37.997  -37.985  -37.948  -37.948  -28.807   -9.834
   -9.826   -9.809   -0.676    1.931    6.018    7.227    7.344    8.211    8.403    8.899
    9.190    9.746    9.850   10.119   10.516   10.654   11.724   12.211   12.804   13.832
   14.643   15.997   16.082   16.297   17.089   17.237   17.616   18.402   19.455   20.063
   20.595   21.344   21.637   22.550   24.076   24.763   25.181   25.642   26.107   26.609
   27.370   28.411   28.736   29.313   30.694   30.737   31.662   32.339   32.368   33.164
   34.517   35.035   36.789   36.877   37.204   37.705   38.424   38.427   38.989   39.443
   40.262   40.337   40.461   40.865   41.107   41.307   42.602   42.622   43.493   43.526
   43.778   44.265   44.538   45.008   45.368   45.423   45.962   46.165   46.448   46.706
   47.317   47.626   47.710   48.181   48.672   48.726   49.633   50.570   50.618   50.848
            0.200272  0.000000  0.084399
  -72.232  -72.224  -38.008  -38.008  -37.997  -37.985  -37.948  -37.948  -28.807   -9.835
   -9.826   -9.809   -0.669    1.928    6.028    7.221    7.345    8.219    8.399    8.890
    9.195    9.738    9.853   10.110   10.496   10.629   11.742   12.193   12.804   13.851
   14.682   15.977   16.101   16.303   17.077   17.263   17.603   18.428   19.416   20.040
   20.587   21.327   21.635   22.579   24.107   24.771   25.167   25.659   26.157   26.656
   27.361   28.376   28.677   29.332   30.712   30.745   31.666   32.328   32.407   33.203
   34.445   35.069   36.790   36.804   37.144   37.718   38.343   38.423   38.967   39.416
   40.244   40.373   40.467   40.795   41.113   41.284   42.612   42.646   43.449   43.582
   43.742   44.235   44.608   44.992   45.356   45.429   45.891   46.125   46.435   46.762
   47.292   47.659   47.736   48.226   48.679   48.783   49.706   50.568   50.601   50.875
            0.207178  0.000000  0.087310
